"Path","Name","Extension","Size_KB","LastWriteTime"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\000_Overview.md","000_Overview.md",".md","2.72","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\.git-reviewers.json",".git-reviewers.json",".json","0.04","1/20/2026 4:55:14 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\000_Tools Access.md","000_Tools Access.md",".md","8.41","2/11/2026 12:27:40 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\020_GitLab User Roles and Access Configuration for Pipeline Execution.md","020_GitLab User Roles and Access Configuration for Pipeline Execution.md",".md","2.41","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\030_Gitlab Tenant Group Setup.md","030_Gitlab Tenant Group Setup.md",".md","1.94","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_103.png","image_103.png",".png","92.21","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_104.png","image_104.png",".png","120.26","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_105.png","image_105.png",".png","123.75","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_106.png","image_106.png",".png","126.68","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_107.png","image_107.png",".png","87.87","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_108.png","image_108.png",".png","155.69","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_109.png","image_109.png",".png","243.9","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_110.png","image_110.png",".png","123.03","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_111.png","image_111.png",".png","102.3","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_112.png","image_112.png",".png","97.13","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_113.png","image_113.png",".png","15.25","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_114.png","image_114.png",".png","13.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_115.png","image_115.png",".png","13.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_116.png","image_116.png",".png","32.23","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_117.png","image_117.png",".png","27.72","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_118.png","image_118.png",".png","28.31","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_119.png","image_119.png",".png","147.26","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_120.png","image_120.png",".png","113.94","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_121.png","image_121.png",".png","73.29","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_122.png","image_122.png",".png","91.45","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_123.png","image_123.png",".png","43.44","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_124.png","image_124.png",".png","53.1","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_125.png","image_125.png",".png","70.68","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_126.png","image_126.png",".png","31.61","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_127_1.png","image_127_1.png",".png","72.56","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_127_2.png","image_127_2.png",".png","34.34","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_127_3.png","image_127_3.png",".png","30.45","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image_127.png","image_127.png",".png","19.26","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image-1.png","image-1.png",".png","42.64","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image-2.png","image-2.png",".png","41.78","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image-3.png","image-3.png",".png","16.29","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image-4.png","image-4.png",".png","685.8","1/20/2026 5:40:21 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\020_Tools Access\image.png","image.png",".png","30.8","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\.git-reviewers.json",".git-reviewers.json",".json","0.04","1/20/2026 4:55:14 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\image_4.png","image_4.png",".png","177.41","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\000_Request XCR Cluster.md","000_Request XCR Cluster.md",".md","4.13","2/13/2026 12:05:56 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\010_Request Transit Gateway.md","010_Request Transit Gateway.md",".md","3.05","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\020_Request Kubernetes SA for Vault.md","020_Request Kubernetes SA for Vault.md",".md","5.57","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\030_Istio Gateway.md","030_Istio Gateway.md",".md","1.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_10.png","image_10.png",".png","103.79","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_11.png","image_11.png",".png","43.13","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_12.png","image_12.png",".png","68.04","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_13.png","image_13.png",".png","133.33","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_14.png","image_14.png",".png","80.02","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_15.png","image_15.png",".png","60.07","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_16.png","image_16.png",".png","75.52","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_17.png","image_17.png",".png","84.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_18.png","image_18.png",".png","172.77","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_3.png","image_3.png",".png","149.74","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_5.png","image_5.png",".png","15.51","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_6.png","image_6.png",".png","12.75","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_7.png","image_7.png",".png","94.65","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_8.png","image_8.png",".png","79.66","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AWS\image_9.png","image_9.png",".png","123.15","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\000_Pre-requisites.md","000_Pre-requisites.md",".md","0.45","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\000_Virtual Network Peering.md","000_Virtual Network Peering.md",".md","3.58","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\010_Request XCR Cluster.md","010_Request XCR Cluster.md",".md","7.11","2/13/2026 12:05:56 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\011_Azure XCR to Admin License connectivity.md","011_Azure XCR to Admin License connectivity.md",".md","3.75","1/20/2026 5:40:21 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\020_Deploy required CRDs in the cluster.md","020_Deploy required CRDs in the cluster.md",".md","2.04","2/10/2026 11:28:46 AM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_10.png","image_10.png",".png","103.79","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_11.png","image_11.png",".png","43.13","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_12.png","image_12.png",".png","68.04","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_128.png","image_128.png",".png","43.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_129.png","image_129.png",".png","23.06","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_13.png","image_13.png",".png","133.33","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_130.png","image_130.png",".png","54.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_131.png","image_131.png",".png","28.19","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_132.png","image_132.png",".png","33.49","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_133.png","image_133.png",".png","49.33","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_134.png","image_134.png",".png","46.61","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_135.png","image_135.png",".png","44.85","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_136.png","image_136.png",".png","47.07","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_137.png","image_137.png",".png","45.74","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_138.png","image_138.png",".png","46.67","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_139.png","image_139.png",".png","49.87","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_14.png","image_14.png",".png","80.02","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_140.png","image_140.png",".png","139.33","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_141.png","image_141.png",".png","83","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_15 copy.png","image_15 copy.png",".png","60.07","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_15.png","image_15.png",".png","60.07","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_16 copy.png","image_16 copy.png",".png","75.52","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_16.png","image_16.png",".png","75.52","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_17 copy.png","image_17 copy.png",".png","84.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_17.png","image_17.png",".png","84.92","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_8.png","image_8.png",".png","79.66","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image_9.png","image_9.png",".png","123.15","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image-1.png","image-1.png",".png","117.82","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image-2.png","image-2.png",".png","76.2","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image-3.png","image-3.png",".png","18.51","1/20/2026 5:40:21 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image-4.png","image-4.png",".png","23.14","1/20/2026 5:40:21 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\030_XCR Kubernetes Cluster Setup\AZURE\image.png","image.png",".png","117.52","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\.git-reviewers.json",".git-reviewers.json",".json","0.04","1/20/2026 4:55:14 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\000_Create TcX Transit Gateway.md","000_Create TcX Transit Gateway.md",".md","12.5","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\010_Peering Between TCX and XCR TGW.md","010_Peering Between TCX and XCR TGW.md",".md","4.35","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_19.png","image_19.png",".png","141.86","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_20.png","image_20.png",".png","100.82","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_21.png","image_21.png",".png","187.27","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_22.png","image_22.png",".png","75.61","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_23.png","image_23.png",".png","107.84","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_24.png","image_24.png",".png","146.68","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_25.png","image_25.png",".png","171.16","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_26.png","image_26.png",".png","122.63","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_27.png","image_27.png",".png","139.54","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_28.png","image_28.png",".png","81.36","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_29.png","image_29.png",".png","99.74","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_30.png","image_30.png",".png","116.31","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\040_TcX Cell Setup\AWS\TcX Cell Account Setup\000-Cell Account\image_31.png","image_31.png",".png","94.38","12/9/2025 1:13:34 PM"
